2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-20/18:46:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-20/18:46:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-20/18:46:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-20/18:46:35		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-20/18:46:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-20/18:46:42		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-20/18:46:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-20/18:46:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-20/18:46:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-20/18:52:55		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-20/18:53:01		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-20/18:53:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-20/18:53:12		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-20/18:53:19		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-20/18:53:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-20/18:53:32		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-20/18:53:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-20/18:53:41		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-20/18:58:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-20/18:59:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-20/18:59:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-20/18:59:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-20/18:59:13		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-20/18:59:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-20/18:59:21		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-20/18:59:25		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-20/18:59:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-20/19:01:19		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-20/19:01:20		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-20/19:01:21		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-20/19:01:22		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-20/19:01:23		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-20/19:01:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-20/19:01:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-20/19:01:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-20/19:01:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-20/19:04:17		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-20/19:04:18		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-20/19:04:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-20/19:04:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-20/19:04:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-20/19:04:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-20/19:04:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-20/19:04:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-20/19:04:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-20/19:08:01		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-20/19:08:02		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-20/19:08:03		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-20/19:08:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-20/19:08:05		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-20/19:08:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-20/19:08:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-20/19:08:09		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-20/19:08:10		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/15:28:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/15:28:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/15:28:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/15:28:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/15:28:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/15:28:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/15:28:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/15:28:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/15:28:49		 wafer_29012020_050617.csv: File Transformed successfully!!
